,userId,night_inputDt,pmEmotion,pmStress,ifUnusual,breakfast,lunch,dinner,lateSnack,amCaffeine,amCaffAmount,pmCaffeine,pmCaffAmount,alcohol,aAmount,date,sleep,inputDt,sleepProblem,dream,amCondition,amEmotion,total_CaffAmount
0,1,2018-11-16 0:32,3.0,1.0,2.0,1.0,3.0,3.0,4.0,,,,,,,2018-11-16,3.0,2018-11-17 11:48,3.0,2.0,4.0,5.0,
0,1,2018-11-17 3:26,5.0,4.0,2.0,1.0,3.0,3.0,,coffee,2.0,,,,,2018-11-17,3.0,2018-11-18 11:36,0.0,4.0,3.0,4.0,
0,1,2018-11-18 23:34,3.0,2.0,2.0,2.0,3.0,3.0,4.0,,,coffee,1.0,,,2018-11-18,4.0,2018-11-19 7:49,6.0,4.0,2.0,2.0,
0,1,2018-11-19 22:10,4.0,2.0,2.0,2.0,3.0,3.0,4.0,coffee,1.0,coffee,1.0,,,2018-11-19,3.0,2018-11-20 9:12,0.0,4.0,1.0,5.0,2.0
0,1,2018-11-21 22:31,3.0,2.0,2.0,1.0,3.0,3.0,2.0,,,,,,,2018-11-21,4.0,2018-11-22 9:09,0.0,4.0,1.0,2.0,
0,1,2018-11-22 23:35,4.0,2.0,2.0,3.0,3.0,3.0,4.0,coffee,3.0,coffee,1.0,,,2018-11-22,5.0,2018-11-23 8:18,0.0,4.0,1.0,2.0,4.0
0,1,2018-11-23 23:46,3.0,1.0,1.0,3.0,3.0,3.0,4.0,,,,,,,2018-11-23,5.0,2018-11-24 7:30,0.0,4.0,1.0,2.0,
0,1,2018-11-27 21:26,4.0,3.0,2.0,3.0,3.0,3.0,3.0,,,,,,,2018-11-27,1.0,2018-11-28 8:35,0.0,4.0,1.0,1.0,
0,2,2018-11-16 22:36,2.0,1.0,1.0,4.0,2.0,3.0,3.0,,,,,beer,5.0,2018-11-16,3.0,2018-11-17 9:10,5.0,4.0,3.0,3.0,
0,2,2018-11-26 23:20,4.0,3.0,,2.0,2.0,2.0,,,,,,,,2018-11-26,1.0,2018-11-27 19:43,0.0,4.0,2.0,4.0,
0,2,2018-11-27 19:43,4.0,4.0,,2.0,2.0,2.0,,,,,,,,2018-11-27,2.0,2018-11-28 18:58,1.0,4.0,2.0,3.0,
0,3,2018-10-31 23:48,3.0,1.0,2.0,4.0,2.0,2.0,4.0,,,coffee,1.0,,,2018-10-31,2.0,2018-11-01 11:58,2.0,4.0,2.0,3.0,
0,3,2018-11-01 23:36,3.0,2.0,2.0,4.0,2.0,2.0,4.0,,,,,,,2018-11-01,3.0,2018-11-02 10:48,0.0,4.0,2.0,3.0,
0,3,2018-11-06 22:03,3.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,2018-11-06,2.0,2018-11-07 9:50,7.0,1.0,1.0,2.0,
0,3,2018-11-07 21:14,2.0,1.0,2.0,4.0,1.0,2.0,,,,,,,,2018-11-07,3.0,2018-11-08 11:50,2.0,2.0,2.0,3.0,
0,3,2018-11-08 23:02,3.0,3.0,2.0,4.0,2.0,3.0,4.0,,,,,,,2018-11-08,2.0,2018-11-09 10:15,2.0,4.0,2.0,3.0,
0,3,2018-11-09 22:37,3.0,2.0,1.0,4.0,2.0,3.0,4.0,,,,,,,2018-11-09,3.0,2018-11-10 12:22,2.0,2.0,3.0,3.0,
0,3,2018-11-10 23:30,3.0,2.0,2.0,4.0,2.0,2.0,4.0,,,,,,,2018-11-10,4.0,2018-11-11 11:44,0.0,4.0,3.0,3.0,
0,3,2018-11-11 21:57,3.0,2.0,2.0,4.0,1.0,3.0,4.0,,,,,,,2018-11-11,2.0,2018-11-12 8:20,5.0,4.0,2.0,3.0,
0,4,2018-10-30 16:55,1.0,2.0,2.0,3.0,3.0,3.0,3.0,,,,,,,2018-10-30,1.0,2018-10-31 10:15,7.0,1.0,1.0,1.0,
0,4,2018-10-31 22:12,1.0,1.0,2.0,4.0,4.0,1.0,4.0,coffee,1.0,,,,,2018-10-31,1.0,2018-11-01 8:02,7.0,1.0,1.0,1.0,
0,4,2018-11-01 19:33,1.0,1.0,2.0,4.0,4.0,3.0,4.0,coffee,2.0,,,,,2018-11-01,1.0,2018-11-02 7:33,7.0,1.0,1.0,1.0,
0,4,2018-11-02 20:28,3.0,1.0,2.0,4.0,2.0,3.0,4.0,coffee,1.0,caffeinated drink,1.0,,,2018-11-02,2.0,2018-11-03 11:16,2.0,1.0,1.0,1.0,2.0
0,4,2018-11-04 20:48,1.0,1.0,1.0,4.0,4.0,3.0,3.0,coffee,2.0,coffee,1.0,,,2018-11-04,2.0,2018-11-05 7:29,2.0,1.0,1.0,1.0,3.0
0,4,2018-11-05 19:31,1.0,1.0,2.0,4.0,2.0,2.0,4.0,coffee,1.0,coffee,1.0,,,2018-11-05,2.0,2018-11-06 7:36,4.0,1.0,1.0,2.0,2.0
0,4,2018-11-06 18:35,2.0,1.0,2.0,3.0,1.0,1.0,4.0,coffee,1.0,coffee,1.0,,,2018-11-06,2.0,2018-11-07 8:45,4.0,1.0,1.0,1.0,2.0
0,4,2018-11-07 19:28,3.0,1.0,2.0,3.0,2.0,3.0,4.0,,,,,,,2018-11-07,2.0,2018-11-08 8:01,4.0,4.0,2.0,2.0,
0,4,2018-11-08 19:26,3.0,2.0,2.0,4.0,2.0,1.0,4.0,,,coffee,1.0,,,2018-11-08,2.0,2018-11-09 7:48,4.0,4.0,1.0,2.0,
0,4,2018-11-09 20:31,3.0,2.0,2.0,2.0,1.0,3.0,3.0,coffee,1.0,coffee,1.0,soju,1.0,2018-11-09,3.0,2018-11-10 11:45,4.0,4.0,2.0,2.0,2.0
0,4,2018-11-10 21:18,3.0,2.0,1.0,2.0,2.0,1.0,1.0,coffee,1.0,,,,,2018-11-10,2.0,2018-11-11 11:03,4.0,4.0,2.0,3.0,
0,4,2018-11-11 20:57,2.0,1.0,1.0,3.0,4.0,3.0,1.0,coffee,1.0,,,,,2018-11-11,2.0,2018-11-12 9:56,4.0,4.0,2.0,3.0,
0,4,2018-11-12 20:45,2.0,1.0,2.0,3.0,4.0,1.0,4.0,coffee,1.0,coffee,1.0,,,2018-11-12,2.0,2018-11-13 10:34,4.0,4.0,1.0,2.0,2.0
0,5,2018-10-30 18:17,4.0,2.0,2.0,2.0,2.0,2.0,2.0,,,coffee,1.0,,,2018-10-30,4.0,2018-10-31 8:17,3.0,4.0,4.0,3.0,
0,5,2018-10-31 21:04,2.0,1.0,1.0,3.0,4.0,4.0,4.0,coffee,1.0,,,,,2018-10-31,4.0,2018-11-01 7:20,0.0,4.0,2.0,3.0,
0,5,2018-11-01 21:14,4.0,4.0,2.0,3.0,2.0,3.0,4.0,,,coffee,1.0,,,2018-11-01,3.0,2018-11-02 6:44,0.0,4.0,2.0,3.0,
0,5,2018-11-02 21:20,4.0,3.0,2.0,3.0,2.0,3.0,4.0,coffee,1.0,,,,,2018-11-02,4.0,2018-11-03 7:20,0.0,4.0,4.0,3.0,
0,5,2018-11-03 20:28,3.0,1.0,2.0,2.0,3.0,4.0,4.0,coffee,1.0,coffee,1.0,,,2018-11-03,3.0,2018-11-04 7:08,0.0,4.0,2.0,2.0,2.0
0,5,2018-11-04 20:53,4.0,2.0,2.0,3.0,1.0,4.0,3.0,coffee,1.0,coffee,2.0,,,2018-11-04,4.0,2018-11-05 7:48,0.0,4.0,4.0,2.0,3.0
0,5,2018-11-06 20:37,4.0,2.0,2.0,3.0,1.0,4.0,3.0,coffee,1.0,coffee,2.0,,,2018-11-06,3.0,2018-11-07 7:38,3.0,4.0,2.0,2.0,3.0
0,5,2018-11-07 20:26,4.0,3.0,2.0,3.0,3.0,1.0,4.0,coffee,1.0,coffee,1.0,,,2018-11-07,2.0,2018-11-08 8:30,2.0,1.0,2.0,1.0,2.0
0,5,2018-11-08 20:42,3.0,4.0,2.0,3.0,3.0,2.0,3.0,,,coffee,1.0,,,2018-11-08,4.0,2018-11-09 8:21,0.0,4.0,4.0,4.0,
0,5,2018-11-09 21:10,4.0,3.0,2.0,3.0,1.0,3.0,4.0,,,coffee,1.0,,,2018-11-09,4.0,2018-11-10 7:28,3.0,4.0,4.0,3.0,
0,5,2018-11-10 20:43,4.0,4.0,2.0,3.0,1.0,4.0,3.0,,,coffee,1.0,beer,1.0,2018-11-10,3.0,2018-11-11 8:23,3.0,1.0,3.0,3.0,
0,5,2018-11-11 20:40,4.0,3.0,2.0,3.0,3.0,4.0,2.0,,,coffee,1.0,,,2018-11-11,2.0,2018-11-12 7:27,3.0,4.0,2.0,2.0,
0,5,2018-11-12 22:11,2.0,1.0,2.0,3.0,1.0,4.0,4.0,coffee,1.0,coffee,1.0,,,2018-11-12,4.0,2018-11-13 7:41,3.0,4.0,2.0,3.0,2.0
0,6,2018-10-31 18:51,3.0,3.0,2.0,2.0,2.0,2.0,2.0,,,,,,,2018-10-31,4.0,2018-11-01 8:19,2.0,2.0,2.0,3.0,
0,6,2018-11-04 7:20,3.0,3.0,2.0,2.0,2.0,2.0,4.0,,,,,,,2018-11-04,3.0,2018-11-05 6:59,0.0,2.0,3.0,3.0,
0,6,2018-11-05 22:02,3.0,4.0,2.0,2.0,2.0,4.0,4.0,,,,,,,2018-11-05,3.0,2018-11-06 8:57,9.0,2.0,3.0,3.0,
0,6,2018-11-06 22:40,3.0,3.0,2.0,2.0,2.0,2.0,,,,,,,,2018-11-06,4.0,2018-11-07 8:05,9.0,2.0,3.0,3.0,
0,6,2018-11-09 23:23,3.0,3.0,2.0,2.0,2.0,2.0,,,,,,,,2018-11-09,3.0,2018-11-10 9:34,9.0,2.0,3.0,3.0,
0,6,2018-11-12 23:02,3.0,3.0,2.0,2.0,2.0,2.0,,,,,,,,2018-11-12,3.0,2018-11-13 9:02,9.0,2.0,3.0,3.0,
0,7,2018-10-31 19:26,4.0,3.0,2.0,4.0,2.0,2.0,4.0,coffee,1.0,coffee,1.0,,,2018-10-31,3.0,2018-11-01 7:24,1.0,2.0,4.0,4.0,2.0
0,7,2018-11-01 19:23,3.0,2.0,2.0,4.0,3.0,3.0,4.0,coffee,1.0,coffee,1.0,,,2018-11-01,4.0,2018-11-02 7:32,2.0,2.0,3.0,4.0,2.0
0,7,2018-11-02 19:46,3.0,1.0,2.0,4.0,3.0,3.0,4.0,coffee,1.0,coffee,2.0,,,2018-11-02,4.0,2018-11-03 7:53,0.0,2.0,4.0,3.0,3.0
0,7,2018-11-03 20:42,4.0,4.0,2.0,3.0,3.0,3.0,4.0,,,coffee,1.0,beer,1.0,2018-11-03,3.0,2018-11-04 7:36,2.0,2.0,3.0,2.0,
0,7,2018-11-04 19:31,4.0,4.0,2.0,4.0,3.0,3.0,4.0,coffee,1.0,coffee,1.0,,,2018-11-04,2.0,2018-11-05 7:43,1.0,2.0,2.0,3.0,2.0
0,7,2018-11-05 19:58,2.0,2.0,2.0,4.0,2.0,3.0,4.0,,,coffee,1.0,,,2018-11-05,4.0,2018-11-06 7:27,1.0,2.0,3.0,3.0,
0,7,2018-11-06 20:01,3.0,2.0,2.0,4.0,2.0,3.0,4.0,,,coffee,1.0,,,2018-11-06,4.0,2018-11-07 7:12,0.0,2.0,3.0,3.0,
0,7,2018-11-07 19:56,3.0,2.0,2.0,4.0,2.0,2.0,4.0,coffee,1.0,coffee,1.0,,,2018-11-07,4.0,2018-11-08 7:28,0.0,2.0,3.0,4.0,2.0
0,7,2018-11-08 20:44,3.0,2.0,2.0,4.0,3.0,2.0,4.0,coffee,1.0,coffee,2.0,,,2018-11-08,4.0,2018-11-09 7:19,0.0,3.0,3.0,3.0,3.0
0,7,2018-11-09 19:21,3.0,3.0,2.0,4.0,3.0,4.0,4.0,coffee,1.0,coffee,1.0,,,2018-11-09,3.0,2018-11-10 9:48,0.0,2.0,2.0,3.0,2.0
0,7,2018-11-10 21:57,3.0,4.0,2.0,4.0,3.0,3.0,4.0,,,,,,,2018-11-10,4.0,2018-11-11 9:10,2.0,2.0,3.0,4.0,
0,7,2018-11-12 19:33,3.0,3.0,2.0,4.0,3.0,3.0,,,,coffee,1.0,,,2018-11-12,3.0,2018-11-13 7:22,1.0,2.0,3.0,3.0,
0,8,2018-10-31 19:54,4.0,2.0,2.0,4.0,2.0,3.0,4.0,,,coke,1.0,,,2018-10-31,2.0,2018-11-01 7:41,2.0,4.0,2.0,2.0,
0,8,2018-11-01 20:27,3.0,3.0,2.0,4.0,3.0,3.0,4.0,,,,,,,2018-11-01,1.0,2018-11-02 8:08,1.0,4.0,2.0,3.0,
0,8,2018-11-02 23:41,5.0,3.0,2.0,3.0,2.0,3.0,3.0,coffee,1.0,,,wine,1.0,2018-11-02,2.0,2018-11-03 10:46,2.0,4.0,2.0,4.0,
0,8,2018-11-04 0:31,4.0,4.0,1.0,3.0,3.0,3.0,3.0,,,coffee,2.0,,,2018-11-04,2.0,2018-11-05 7:42,6.0,4.0,2.0,3.0,
0,8,2018-11-05 20:48,4.0,2.0,2.0,3.0,3.0,3.0,4.0,coffee,2.0,,,beer,1.0,2018-11-05,3.0,2018-11-06 8:11,6.0,4.0,2.0,3.0,
0,8,2018-11-06 21:07,3.0,2.0,2.0,2.0,3.0,2.0,4.0,,,coffee,1.0,,,2018-11-06,2.0,2018-11-07 21:39,0.0,4.0,2.0,3.0,
0,8,2018-11-07 21:39,3.0,3.0,2.0,2.0,3.0,3.0,4.0,coffee,1.0,,,,,2018-11-07,2.0,2018-11-08 8:05,0.0,3.0,2.0,3.0,
0,8,2018-11-08 20:27,1.0,1.0,1.0,4.0,2.0,2.0,4.0,,,,,,,2018-11-08,1.0,2018-11-09 7:36,2.0,4.0,2.0,3.0,
0,8,2018-11-09 21:33,4.0,3.0,2.0,4.0,2.0,2.0,4.0,coffee,1.0,coffee,1.0,,,2018-11-09,1.0,2018-11-10 10:39,2.0,4.0,2.0,3.0,2.0
0,8,2018-11-10 22:37,4.0,4.0,2.0,2.0,2.0,3.0,4.0,coffee,1.0,,,,,2018-11-10,1.0,2018-11-11 9:37,1.0,4.0,2.0,3.0,
0,8,2018-11-11 21:12,4.0,3.0,2.0,2.0,3.0,3.0,4.0,,,coffee,2.0,,,2018-11-11,3.0,2018-11-12 21:51,2.0,3.0,3.0,3.0,
0,9,2018-11-01 21:02,3.0,4.0,1.0,2.0,3.0,3.0,4.0,coffee,2.0,tea,1.0,beer,2.0,2018-11-01,2.0,2018-11-02 8:11,9.0,4.0,2.0,2.0,3.0
0,9,2018-11-02 20:30,3.0,4.0,2.0,2.0,3.0,3.0,4.0,coffee,2.0,coffee,1.0,,,2018-11-02,3.0,2018-11-03 7:48,4.0,4.0,2.0,3.0,3.0
0,9,2018-11-03 21:22,4.0,4.0,2.0,1.0,2.0,3.0,3.0,coffee,1.0,,,beer,3.0,2018-11-03,2.0,2018-11-04 7:51,4.0,4.0,2.0,3.0,
0,9,2018-11-04 22:07,2.0,4.0,2.0,3.0,3.0,3.0,,coffee,1.0,,,,,2018-11-04,4.0,2018-11-05 8:27,3.0,4.0,3.0,3.0,
0,9,2018-11-05 21:42,3.0,1.0,1.0,2.0,3.0,4.0,2.0,coffee,1.0,coffee,2.0,,,2018-11-05,3.0,2018-11-06 7:32,0.0,4.0,3.0,3.0,3.0
0,9,2018-11-06 20:59,3.0,2.0,2.0,2.0,2.0,2.0,,coffee,2.0,coffee,2.0,,,2018-11-06,3.0,2018-11-07 8:00,0.0,4.0,2.0,3.0,4.0
0,9,2018-11-07 22:09,4.0,4.0,2.0,3.0,3.0,3.0,,coffee,1.0,coffee,2.0,,,2018-11-07,3.0,2018-11-08 8:19,3.0,4.0,3.0,3.0,3.0
0,9,2018-11-08 21:23,4.0,4.0,2.0,3.0,3.0,3.0,,coffee,2.0,coffee,2.0,,,2018-11-08,3.0,2018-11-09 8:59,0.0,4.0,3.0,3.0,4.0
0,9,2018-11-09 23:28,4.0,4.0,2.0,3.0,3.0,3.0,,coffee,1.0,coffee,2.0,beer,2.0,2018-11-09,3.0,2018-11-10 9:10,0.0,4.0,2.0,3.0,3.0
0,9,2018-11-10 22:07,4.0,4.0,2.0,3.0,3.0,3.0,,,,coffee,2.0,beer,3.0,2018-11-10,4.0,2018-11-11 9:36,4.0,4.0,3.0,3.0,
0,9,2018-11-11 23:28,4.0,4.0,2.0,3.0,3.0,3.0,,coffee,2.0,,,,,2018-11-11,3.0,2018-11-12 7:39,0.0,2.0,3.0,3.0,
0,9,2018-11-12 22:15,3.0,3.0,2.0,3.0,3.0,3.0,3.0,coffee,1.0,coffee,2.0,beer,1.0,2018-11-12,2.0,2018-11-13 8:17,0.0,4.0,2.0,3.0,3.0
0,10,2018-11-03 12:19,3.0,3.0,2.0,2.0,2.0,2.0,2.0,,,,,,,2018-11-03,4.0,2018-11-04 12:41,9.0,4.0,4.0,3.0,
0,10,2018-11-05 22:37,3.0,2.0,2.0,2.0,2.0,2.0,2.0,coffee,2.0,,,,,2018-11-05,1.0,2018-11-06 8:43,0.0,2.0,3.0,3.0,
0,10,2018-11-06 21:42,3.0,3.0,2.0,2.0,2.0,2.0,,coffee,1.0,,,,,2018-11-06,1.0,2018-11-07 8:42,2.0,2.0,2.0,1.0,
0,11,2018-11-01 21:50,4.0,2.0,2.0,4.0,4.0,3.0,4.0,coffee,1.0,,,,,2018-11-01,4.0,2018-11-02 11:30,1.0,4.0,2.0,2.0,
0,11,2018-11-02 23:34,3.0,2.0,2.0,4.0,3.0,3.0,3.0,,,,,,,2018-11-02,4.0,2018-11-03 13:25,1.0,2.0,3.0,3.0,
0,11,2018-11-03 23:55,3.0,1.0,2.0,4.0,3.0,3.0,4.0,,,coffee,1.0,,,2018-11-03,2.0,2018-11-04 18:11,1.0,2.0,1.0,2.0,
0,11,2018-11-04 23:50,2.0,2.0,2.0,4.0,3.0,3.0,4.0,,,,,,,2018-11-04,1.0,2018-11-05 9:18,0.0,4.0,1.0,1.0,
0,11,2018-11-05 23:24,4.0,2.0,2.0,3.0,3.0,4.0,3.0,,,coffee,1.0,,,2018-11-05,4.0,2018-11-06 15:51,0.0,4.0,3.0,2.0,
0,11,2018-11-06 23:28,3.0,2.0,2.0,4.0,4.0,3.0,4.0,,,coffee,1.0,,,2018-11-06,2.0,2018-11-07 13:32,0.0,4.0,2.0,3.0,
0,11,2018-11-07 23:28,2.0,1.0,2.0,4.0,3.0,3.0,4.0,,,coffee,1.0,,,2018-11-07,4.0,2018-11-08 15:51,0.0,4.0,3.0,2.0,
0,11,2018-11-08 23:32,3.0,1.0,2.0,4.0,4.0,3.0,4.0,,,coffee,1.0,,,2018-11-08,1.0,2018-11-09 7:14,0.0,4.0,2.0,2.0,
0,11,2018-11-09 23:23,3.0,2.0,1.0,4.0,3.0,3.0,4.0,,,,,,,2018-11-09,4.0,2018-11-10 18:35,0.0,2.0,2.0,4.0,
0,11,2018-11-10 23:26,3.0,3.0,1.0,4.0,4.0,3.0,4.0,,,,,,,2018-11-10,4.0,2018-11-11 15:36,0.0,4.0,3.0,3.0,
0,11,2018-11-11 23:42,3.0,3.0,2.0,4.0,4.0,3.0,4.0,,,,,,,2018-11-11,4.0,2018-11-12 16:05,0.0,4.0,3.0,3.0,
0,11,2018-11-12 23:42,3.0,4.0,2.0,4.0,4.0,2.0,4.0,,,,,,,2018-11-12,4.0,2018-11-13 15:21,5.0,4.0,3.0,3.0,
0,12,2018-10-31 23:02,5.0,5.0,,4.0,3.0,4.0,4.0,coffee,1.0,coffee,1.0,,,2018-10-31,5.0,2018-11-01 8:06,0.0,4.0,4.0,4.0,2.0
0,12,2018-11-01 21:19,4.0,5.0,,4.0,2.0,4.0,4.0,,,coffee,1.0,,,2018-11-01,4.0,2018-11-02 7:54,0.0,4.0,3.0,3.0,
0,12,2018-11-05 18:10,4.0,5.0,,4.0,3.0,4.0,4.0,,,coffee,1.0,,,2018-11-05,4.0,2018-11-06 7:54,8.0,4.0,4.0,4.0,
0,12,2018-11-06 22:23,5.0,5.0,,4.0,3.0,4.0,3.0,,,coffee,1.0,,,2018-11-06,4.0,2018-11-07 7:24,0.0,4.0,3.0,4.0,
0,12,2018-11-07 20:57,4.0,5.0,,4.0,2.0,2.0,4.0,,,coffee,1.0,,,2018-11-07,4.0,2018-11-08 8:22,0.0,4.0,2.0,4.0,
0,12,2018-11-08 21:13,4.0,5.0,,4.0,3.0,4.0,4.0,coffee,1.0,coffee,1.0,,,2018-11-08,4.0,2018-11-09 8:27,0.0,4.0,2.0,3.0,2.0
0,13,2018-10-31 23:00,5.0,2.0,2.0,4.0,3.0,3.0,4.0,,,,,,,2018-10-31,3.0,2018-11-01 8:42,0.0,4.0,2.0,3.0,
0,13,2018-11-01 22:28,5.0,4.0,2.0,4.0,3.0,3.0,4.0,,,,,,,2018-11-01,3.0,2018-11-02 8:16,1.0,4.0,2.0,3.0,
0,13,2018-11-02 21:41,3.0,2.0,2.0,4.0,3.0,3.0,,,,,,,,2018-11-02,2.0,2018-11-03 12:54,3.0,2.0,1.0,3.0,
0,13,2018-11-05 22:44,4.0,3.0,2.0,4.0,3.0,3.0,,,,,,,,2018-11-05,2.0,2018-11-06 10:25,1.0,2.0,2.0,2.0,
0,13,2018-11-06 21:16,3.0,3.0,2.0,4.0,3.0,3.0,,,,,,,,2018-11-06,3.0,2018-11-07 12:58,5.0,4.0,2.0,3.0,
0,13,2018-11-07 23:54,3.0,2.0,2.0,4.0,3.0,3.0,,,,,,,,2018-11-07,5.0,2018-11-08 9:59,5.0,4.0,2.0,4.0,
0,13,2018-11-09 10:57,5.0,2.0,1.0,4.0,2.0,3.0,,,,,,,,2018-11-09,5.0,2018-11-10 13:58,3.0,4.0,1.0,3.0,
0,13,2018-11-10 23:32,5.0,2.0,2.0,4.0,3.0,3.0,,,,,,,,2018-11-10,2.0,2018-11-11 15:33,1.0,4.0,1.0,2.0,
0,13,2018-11-11 22:29,4.0,4.0,2.0,4.0,3.0,3.0,,,,,,,,2018-11-11,2.0,2018-11-12 13:11,4.0,2.0,1.0,2.0,
0,14,2018-10-31 23:21,2.0,1.0,2.0,4.0,2.0,2.0,3.0,coffee,2.0,,,,,2018-10-31,3.0,2018-11-01 9:24,0.0,4.0,4.0,3.0,
0,14,2018-11-01 21:38,3.0,2.0,1.0,2.0,2.0,2.0,,coffee,1.0,,,,,2018-11-01,2.0,2018-11-02 8:01,2.0,4.0,1.0,1.0,
0,14,2018-11-02 22:08,2.0,1.0,1.0,4.0,2.0,2.0,3.0,coffee,1.0,,,,,2018-11-02,4.0,2018-11-03 13:44,0.0,4.0,4.0,4.0,
0,14,2018-11-04 2:24,2.0,1.0,1.0,4.0,2.0,3.0,4.0,coffee,1.0,,,,,2018-11-04,2.0,2018-11-05 8:22,0.0,4.0,1.0,1.0,
0,14,2018-11-07 21:26,2.0,1.0,1.0,3.0,3.0,3.0,3.0,coffee,1.0,,,,,2018-11-07,1.0,2018-11-08 5:57,9.0,4.0,1.0,2.0,
0,14,2018-11-09 21:20,1.0,1.0,1.0,1.0,2.0,2.0,4.0,coffee,1.0,,,,,2018-11-09,5.0,2018-11-10 14:03,0.0,4.0,3.0,3.0,
0,14,2018-11-10 23:15,5.0,2.0,1.0,3.0,4.0,3.0,3.0,,,,,,,2018-11-10,4.0,2018-11-11 14:45,6.0,4.0,5.0,3.0,
0,14,2018-11-11 23:36,3.0,2.0,1.0,4.0,3.0,3.0,3.0,,,coffee,1.0,,,2018-11-11,4.0,2018-11-12 8:59,4.0,4.0,3.0,3.0,
